77,137,10549,0.5620
103,68,7004,1.5147
103,68,7004,1.5147
124,71,8804,1.7465
57,52,2964,1.0962
58,52,3016,1.1154
104,62,6448,1.6774
72,40,2880,1.8000
52,25,1300,2.0800
52,25,1300,2.0800
17,19,323,0.8947
88,13,1144,6.7692
89,13,1157,6.8462
114,68,7752,1.6765
30,21,630,1.4286
31,21,651,1.4762
58,95,5510,0.6105
82,93,7626,0.8817
99,47,4653,2.1064
100,47,4700,2.1277
49,44,2156,1.1136
50,44,2200,1.1364
68,41,2788,1.6585
80,40,3200,2.0000
33,46,1518,0.7174
33,47,1551,0.7021
75,82,6150,0.9146
124,70,8680,1.7714
124,70,8680,1.7714
62,29,1798,2.1379
91,59,5369,1.5424
91,59,5369,1.5424
184,115,21160,1.6000
71,87,6177,0.8161
48,49,2352,0.9796
34,23,782,1.4783
61,20,1220,3.0500
61,20,1220,3.0500
63,39,2457,1.6154
64,39,2496,1.6410
32,17,544,1.8824
119,103,12257,1.1553
34,36,1224,0.9444
34,29,986,1.1724
164,143,23452,1.1469
164,143,23452,1.1469
247,143,35321,1.7273
29,24,696,1.2083
29,24,696,1.2083
121,151,18271,0.8013
60,42,2520,1.4286
167,112,18704,1.4911
73,75,5475,0.9733
210,125,26250,1.6800
170,129,21930,1.3178
62,51,3162,1.2157
36,16,576,2.2500
37,16,592,2.3125
77,157,12089,0.4904
108,97,10476,1.1134
60,68,4080,0.8824
88,120,10560,0.7333
69,36,2484,1.9167
85,80,6800,1.0625
175,129,22575,1.3566
117,143,16731,0.8182
117,144,16848,0.8125
73,55,4015,1.3273
74,55,4070,1.3455
43,32,1376,1.3438
66,53,3498,1.2453
66,53,3498,1.2453
48,79,3792,0.6076
340,229,77860,1.4847
139,172,23908,0.8081
36,33,1188,1.0909
37,33,1221,1.1212
62,117,7254,0.5299
182,38,6916,4.7895
182,38,6916,4.7895
15,17,255,0.8824
15,18,270,0.8333
64,31,1984,2.0645
60,125,7500,0.4800
95,110,10450,0.8636
121,60,7260,2.0167
38,25,950,1.5200
26,20,520,1.3000
27,20,540,1.3500
77,60,4620,1.2833
78,60,4680,1.3000
58,43,2494,1.3488
130,120,15600,1.0833
52,50,2600,1.0400
60,47,2820,1.2766
75,73,5475,1.0274
47,66,3102,0.7121
47,66,3102,0.7121
57,46,2622,1.2391
28,38,1064,0.7368
85,58,4930,1.4655
98,65,6370,1.5077
